Codi;Descripció;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
0101010100070001;POBLACIÓ PER NACIONALITAT. ANDORRANA;33702;34349;34205;34789;35424;36132;36575;36697;37144;37749;37999;38429;38867;38977;39470;39815
0101010100070002;POBLACIÓ PER NACIONALITAT. ESPANYOLA;17679;17215;17139;17165;17227;17512;18064;18737;19131;19231;19211;19716;20216;20451;20700;21013
0101010100070003;POBLACIÓ PER NACIONALITAT. FRANCESA;2937;2788;2728;2675;2731;2834;2968;3199;3339;3391;3423;3549;3665;3845;3874;4113
0101010100070004;POBLACIÓ PER NACIONALITAT. PORTUGUESA;10832;10284;9956;9614;9360;9261;9196;9193;9175;9212;9083;8885;8777;8679;8529;8428
0101010100070005;POBLACIÓ PER NACIONALITAT. BRITÀNICA;662;657;698;720;706;700;690;690;702;712;709;752;776;794;821;863
0101010100070006;POBLACIÓ PER NACIONALITAT. ALEMANYA;193;184;185;201;206;208;212;215;208;209;201;212;242;255;271;283
0101010100070007;POBLACIÓ PER NACIONALITAT. ARGENTINA;602;572;543;527;518;533;561;642;728;900;992;1149;1374;2755;3126;3291
0101010100070008;POBLACIÓ PER NACIONALITAT. NORD-AMERICANA;63;56;63;67;71;76;81;92;94;89;90;113;128;135;140;153
0101010100070009;POBLACIÓ PER NACIONALITAT. BELGA;122;121;122;134;151;152;180;171;175;190;201;201;217;235;234;257
0101010100070010;POBLACIÓ PER NACIONALITAT. HOLANDESA;151;147;159;170;184;175;177;187;185;191;183;193;211;237;242;273
0101010100070011;POBLACIÓ PER NACIONALITAT. INDIA;68;66;64;66;63;59;58;59;60;57;59;57;57;56;50;52
0101010100070012;POBLACIÓ PER NACIONALITAT. ITALIANA;363;340;322;328;323;348;370;408;445;499;534;559;603;644;680;716
0101010100070013;POBLACIÓ PER NACIONALITAT. MARROQUINA;394;390;394;389;389;378;374;375;383;394;403;410;420;438;450;455
0101010100070014;POBLACIÓ PER NACIONALITAT. URUGUAYANA;94;87;80;77;77;68;70;68;76;82;82;87;93;113;117;121
0101010100070015;POBLACIÓ PER NACIONALITAT. XILENA;181;189;173;178;168;168;169;176;204;231;257;288;320;411;444;479
0101010100070016;POBLACIÓ PER NACIONALITAT. FILIPINA;360;366;371;384;391;395;407;426;458;495;509;522;538;596;613;629
0101010100070017;POBLACIÓ PER NACIONALITAT. AUSTRALIANA;33;36;37;48;48;44;64;72;64;67;63;60;70;87;93;103
0101010100070018;POBLACIÓ PER NACIONALITAT. DANESA;61;63;62;57;58;55;51;48;41;49;49;52;57;65;72;74
0101010100070019;POBLACIÓ PER NACIONALITAT. SUÏSSA;45;45;47;50;52;49;61;66;75;71;65;70;81;79;85;84
0101010100070020;POBLACIÓ PER NACIONALITAT. SUECA;33;30;34;33;38;40;42;44;53;57;58;58;73;73;78;89
0101010100070021;POBLACIÓ PER NACIONALITAT. ALTRES NACIONALITATS;1715;1787;2376;2294;2385;2545;2735;3229;3437;3667;3844;4173;4803;6176;7008;7767
